name	taxonomy_id	taxonomy_lvl	sample_A_num	sample_A_frac	sample_B_num	sample_B_frac	sample_C_num	sample_C_frac	sample_D_num	sample_D_frac	sample_E_num	sample_E_frac	sample_F_num	sample_F_frac
Limnochordaceae	1676650	F	644	0.00001	661	0.00002	414	0.00001	255	0.00001	315	0.00001	530	0.00001
Nostocaceae	1162	F	1859	0.00003	829	0.00002	635	0.00001	1028	0.00003	1992	0.00004	1013	0.00003
Rivulariaceae	1185	F	661	0.00001	373	0.00001	215	0.00000	723	0.00002	804	0.00002	378	0.00001
Hapalosiphonaceae	1892263	F	510	0.00001	199	0.00001	129	0.00000	174	0.00000	662	0.00001	187	0.00000
Aphanizomenonaceae	1892259	F	350	0.00001	166	0.00000	133	0.00000	203	0.00001	381	0.00001	265	0.00001
Scytonemataceae	1182	F	196	0.00000	195	0.00001	35	0.00000	98	0.00000	310	0.00001	139	0.00000
Synechococcaceae	1890426	F	2086	0.00004	1814	0.00005	1572	0.00003	1118	0.00003	1739	0.00004	1557	0.00004
Leptolyngbyaceae	1890438	F	258	0.00000	278	0.00001	64	0.00000	187	0.00000	181	0.00000	199	0.00001
Prochloraceae	1213	F	201	0.00000	141	0.00000	88	0.00000	250	0.00001	214	0.00000	124	0.00000
Chamaesiphonaceae	1890431	F	100	0.00000	69	0.00000	85	0.00000	63	0.00000	53	0.00000	63	0.00000
Merismopediaceae	1890428	F	69	0.00000	48	0.00000	69	0.00000	59	0.00000	73	0.00000	47	0.00000
Pseudanabaenaceae	1890436	F	60	0.00000	72	0.00000	46	0.00000	57	0.00000	75	0.00000	38	0.00000
Prochlorotrichaceae	2303730	F	52	0.00000	57	0.00000	34	0.00000	26	0.00000	30	0.00000	42	0.00000
Acaryochloridaceae	1890429	F	19	0.00000	24	0.00000	17	0.00000	12	0.00000	12	0.00000	18	0.00000
Microcoleaceae	1892252	F	487	0.00001	258	0.00001	158	0.00000	161	0.00000	173	0.00000	203	0.00001
Oscillatoriaceae	1892254	F	270	0.00000	138	0.00000	137	0.00000	221	0.00001	389	0.00001	149	0.00000
Cyanothecaceae	1892249	F	197	0.00000	164	0.00000	162	0.00000	223	0.00001	264	0.00001	202	0.00001
Coleofasciculaceae	1892251	F	259	0.00000	152	0.00000	132	0.00000	121	0.00000	99	0.00000	164	0.00000
Gomontiellaceae	1892255	F	25	0.00000	14	0.00000	0	0.00000	28	0.00000	43	0.00000	28	0.00000
Chroococcaceae	1890464	F	363	0.00001	432	0.00001	181	0.00000	289	0.00001	398	0.00001	247	0.00001
Aphanothecaceae	1890450	F	118	0.00000	37	0.00000	56	0.00000	57	0.00000	125	0.00000	72	0.00000
Microcystaceae	1890449	F	83	0.00000	83	0.00000	26	0.00000	37	0.00000	81	0.00000	42	0.00000
Cyanobacteriaceae	1890452	F	62	0.00000	53	0.00000	35	0.00000	21	0.00000	69	0.00000	39	0.00000
Gloeobacteraceae	1890422	F	328	0.00001	224	0.00001	297	0.00001	150	0.00000	226	0.00000	215	0.00001
Dermocarpellaceae	1890498	F	176	0.00000	137	0.00000	44	0.00000	98	0.00000	105	0.00000	88	0.00000
Hyellaceae	1890500	F	39	0.00000	40	0.00000	11	0.00000	24	0.00000	24	0.00000	24	0.00000
Chroococcidiopsidaceae	1890528	F	180	0.00000	150	0.00000	30	0.00000	136	0.00000	120	0.00000	114	0.00000
Gloeomargaritaceae	1955043	F	38	0.00000	13	0.00000	33	0.00000	26	0.00000	73	0.00000	38	0.00000
Deinococcaceae	183710	F	2886	0.00005	2839	0.00008	2361	0.00004	1508	0.00004	2290	0.00005	2355	0.00006
Trueperaceae	332247	F	179	0.00000	253	0.00001	85	0.00000	124	0.00000	222	0.00000	170	0.00000
Thermaceae	188786	F	1026	0.00002	914	0.00002	1207	0.00002	546	0.00001	763	0.00002	777	0.00002
Mycoplasmataceae	2092	F	1866	0.00003	1137	0.00003	599	0.00001	1296	0.00003	1959	0.00004	1272	0.00003
Spiroplasmataceae	2131	F	733	0.00001	397	0.00001	383	0.00001	541	0.00001	668	0.00001	493	0.00001
Entomoplasmataceae	33925	F	505	0.00001	259	0.00001	262	0.00000	289	0.00001	485	0.00001	357	0.00001
Acholeplasmataceae	2146	F	802	0.00001	404	0.00001	280	0.00001	532	0.00001	757	0.00002	466	0.00001
Roseiflexaceae	1508635	F	211	0.00000	238	0.00001	165	0.00000	126	0.00000	160	0.00000	179	0.00000
Chloroflexaceae	1106	F	132	0.00000	107	0.00000	255	0.00000	91	0.00000	120	0.00000	100	0.00000
Dehalococcoidaceae	1202464	F	388	0.00001	420	0.00001	123	0.00000	432	0.00001	430	0.00001	371	0.00001
Anaerolineaceae	292628	F	271	0.00000	273	0.00001	3616	0.00007	116	0.00000	373	0.00001	224	0.00001
Sphaerobacteraceae	85002	F	122	0.00000	158	0.00000	125	0.00000	121	0.00000	142	0.00000	125	0.00000
Thermomicrobiaceae	189777	F	81	0.00000	80	0.00000	76	0.00000	70	0.00000	68	0.00000	189	0.00000
Ardenticatenaceae	1382930	F	330	0.00001	260	0.00001	173	0.00000	139	0.00000	229	0.00000	113	0.00000
Caldilineaceae	475964	F	131	0.00000	108	0.00000	200	0.00000	154	0.00000	123	0.00000	86	0.00000
Chthonomonadaceae	1077264	F	186	0.00000	165	0.00000	125	0.00000	123	0.00000	118	0.00000	123	0.00000
Fimbriimonadaceae	1663426	F	182	0.00000	127	0.00000	66	0.00000	99	0.00000	142	0.00000	131	0.00000
Flavobacteriaceae	49546	F	5300578	0.09581	862038	0.02309	940730	0.01770	1586713	0.04143	2658789	0.05632	2501742	0.06600
Blattabacteriaceae	39782	F	455	0.00001	213	0.00001	210	0.00000	259	0.00001	412	0.00001	198	0.00001
Cryomorphaceae	246874	F	533	0.00001	267	0.00001	77	0.00000	248	0.00001	541	0.00001	353	0.00001
Crocinitomicaceae	1853230	F	189	0.00000	45	0.00000	30	0.00000	270	0.00001	153	0.00000	108	0.00000
Ichthyobacteriaceae	1755828	F	103	0.00000	29	0.00000	212	0.00000	72	0.00000	122	0.00000	45	0.00000
Prevotellaceae	171552	F	1397517	0.02526	1005785	0.02694	43943	0.00083	2902986	0.07579	1793771	0.03800	1824337	0.04813
Tannerellaceae	2005525	F	858850	0.01552	2673865	0.07162	77188	0.00145	270874	0.00707	1184270	0.02509	570306	0.01505
Bacteroidaceae	815	F	45539	0.00082	31345	0.00084	4091	0.00008	47267	0.00123	38937	0.00082	40271	0.00106
Porphyromonadaceae	171551	F	43518	0.00079	27376	0.00073	157766	0.00297	27508	0.00072	36041	0.00076	26041	0.00069
Muribaculaceae	2005473	F	8745	0.00016	4254	0.00011	622	0.00001	4331	0.00011	4059	0.00009	4744	0.00013
Rikenellaceae	171550	F	6380	0.00012	4636	0.00012	947	0.00002	3552	0.00009	5077	0.00011	4901	0.00013
Barnesiellaceae	2005519	F	4338	0.00008	2982	0.00008	407	0.00001	2110	0.00006	2634	0.00006	2771	0.00007
Odoribacteraceae	1853231	F	2144	0.00004	1545	0.00004	267	0.00001	1704	0.00004	2113	0.00004	1426	0.00004
Dysgonamonadaceae	2005520	F	1047	0.00002	651	0.00002	285	0.00001	668	0.00002	789	0.00002	655	0.00002
Paludibacteraceae	2005523	F	1468	0.00003	937	0.00003	349	0.00001	946	0.00002	1150	0.00002	870	0.00002
Prolixibacteraceae	1471398	F	905	0.00002	449	0.00001	118	0.00000	530	0.00001	527	0.00001	522	0.00001
Marinilabiliaceae	558415	F	429	0.00001	274	0.00001	105	0.00000	355	0.00001	361	0.00001	344	0.00001
Marinifilaceae	1573805	F	358	0.00001	280	0.00001	85	0.00000	369	0.00001	299	0.00001	290	0.00001
Salinivirgaceae	1970190	F	207	0.00000	186	0.00000	32	0.00000	228	0.00001	191	0.00000	157	0.00000
Hymenobacteraceae	1853232	F	7793	0.00014	5232	0.00014	1669	0.00003	4509	0.00012	5507	0.00012	5313	0.00014
Cytophagaceae	89373	F	5192	0.00009	3246	0.00009	1034	0.00002	3104	0.00008	3642	0.00008	3421	0.00009
Cyclobacteriaceae	563798	F	1791	0.00003	850	0.00002	555	0.00001	1177	0.00003	1776	0.00004	1075	0.00003
Flammeovirgaceae	200667	F	1860	0.00003	1010	0.00003	282	0.00001	1442	0.00004	1737	0.00004	1240	0.00003
Amoebophilaceae	1501348	F	344	0.00001	264	0.00001	98	0.00000	177	0.00000	316	0.00001	221	0.00001
Persicobacteraceae	1853234	F	339	0.00001	122	0.00000	237	0.00000	173	0.00000	262	0.00001	197	0.00001
Bernardetiaceae	1937968	F	120	0.00000	37	0.00000	50	0.00000	145	0.00000	179	0.00000	79	0.00000
Sphingobacteriaceae	84566	F	5340	0.00010	2879	0.00008	1729	0.00003	4087	0.00011	5198	0.00011	3393	0.00009
Chitinophagaceae	563835	F	3968	0.00007	2251	0.00006	873	0.00002	2432	0.00006	2746	0.00006	2591	0.00007
Rhodothermaceae	563843	F	1202	0.00002	997	0.00003	498	0.00001	715	0.00002	975	0.00002	925	0.00002
Saprospiraceae	89374	F	447	0.00001	217	0.00001	44	0.00000	199	0.00001	359	0.00001	282	0.00001
Haliscomenobacteraceae	1937961	F	421	0.00001	300	0.00001	57	0.00000	176	0.00000	325	0.00001	271	0.00001
Chlorobiaceae	191412	F	2017	0.00004	1993	0.00005	706	0.00001	1359	0.00004	1722	0.00004	1557	0.00004
Melioribacteraceae	1334117	F	68	0.00000	126	0.00000	56	0.00000	53	0.00000	84	0.00000	59	0.00000
Ignavibacteriaceae	795749	F	58	0.00000	23	0.00000	103	0.00000	42	0.00000	59	0.00000	33	0.00000
Fibrobacteraceae	204431	F	509	0.00001	427	0.00001	195143	0.00367	384	0.00001	463	0.00001	336	0.00001
Gemmatimonadaceae	219687	F	559	0.00001	607	0.00002	351	0.00001	395	0.00001	405	0.00001	385	0.00001
Neisseriaceae	481	F	3771525	0.06817	944982	0.02531	5083319	0.09563	1845096	0.04817	2842489	0.06022	1954888	0.05157
Chromobacteriaceae	1499392	F	7911	0.00014	3788	0.00010	5591	0.00011	4565	0.00012	4885	0.00010	5546	0.00015
Comamonadaceae	80864	F	441926	0.00799	174414	0.00467	524616	0.00987	165537	0.00432	459059	0.00972	140361	0.00370
Burkholderiaceae	119060	F	366850	0.00663	132336	0.00354	2630397	0.04949	700152	0.01828	589660	0.01249	253402	0.00669
Alcaligenaceae	506	F	12300	0.00022	7612	0.00020	11240	0.00021	7207	0.00019	9593	0.00020	8759	0.00023
Oxalobacteraceae	75682	F	13598	0.00025	8599	0.00023	11294	0.00021	7956	0.00021	10535	0.00022	9799	0.00026
Sutterellaceae	995019	F	351	0.00001	396	0.00001	223	0.00000	271	0.00001	286	0.00001	327	0.00001
Methylophilaceae	32011	F	1502	0.00003	826	0.00002	869	0.00002	888	0.00002	952	0.00002	1055	0.00003
Gallionellaceae	90627	F	1351	0.00002	789	0.00002	784	0.00001	728	0.00002	881	0.00002	950	0.00003
Nitrosomonadaceae	206379	F	1169	0.00002	801	0.00002	996	0.00002	658	0.00002	771	0.00002	739	0.00002
Sterolibacteriaceae	2008793	F	1138	0.00002	624	0.00002	836	0.00002	552	0.00001	753	0.00002	785	0.00002
Thiobacillaceae	2008790	F	532	0.00001	685	0.00002	411	0.00001	325	0.00001	759	0.00002	370	0.00001
Zoogloeaceae	2008794	F	3723	0.00007	2728	0.00007	2851	0.00005	2305	0.00006	3120	0.00007	2791	0.00007
Azonexaceae	2008795	F	617	0.00001	348	0.00001	399	0.00001	450	0.00001	410	0.00001	405	0.00001
Rhodocyclaceae	75787	F	1278	0.00002	356	0.00001	902	0.00002	749	0.00002	396	0.00001	837	0.00002
Cardiobacteriaceae	868	F	938904	0.01697	368855	0.00988	1035008	0.01947	311694	0.00814	414070	0.00877	567334	0.01497
Pasteurellaceae	712	F	268483	0.00485	177046	0.00474	1006763	0.01894	173300	0.00452	560739	0.01188	80613	0.00213
Pseudomonadaceae	135621	F	50909	0.00092	20125	0.00054	23937	0.00045	17295	0.00045	24700	0.00052	29340	0.00077
Moraxellaceae	468	F	5175	0.00009	2818	0.00008	2689	0.00005	3502	0.00009	4103	0.00009	3318	0.00009
Enterobacteriaceae	543	F	27265	0.00049	19814	0.00053	18294	0.00034	15064	0.00039	24224	0.00051	20944	0.00055
Yersiniaceae	1903411	F	6910	0.00012	4378	0.00012	4806	0.00009	4380	0.00011	6161	0.00013	4532	0.00012
Pectobacteriaceae	1903410	F	4152	0.00008	3071	0.00008	3416	0.00006	2114	0.00006	3275	0.00007	2699	0.00007
Erwiniaceae	1903409	F	3405	0.00006	2505	0.00007	1991	0.00004	1966	0.00005	3113	0.00007	2462	0.00006
Morganellaceae	1903414	F	2260	0.00004	1387	0.00004	1243	0.00002	1240	0.00003	2563	0.00005	1307	0.00003
Hafniaceae	1903412	F	2289	0.00004	783	0.00002	862	0.00002	788	0.00002	1042	0.00002	1321	0.00003
Budviciaceae	1903416	F	300	0.00001	763	0.00002	426	0.00001	523	0.00001	985	0.00002	235	0.00001
Xanthomonadaceae	32033	F	16580	0.00030	13179	0.00035	12463	0.00023	9056	0.00024	13274	0.00028	12583	0.00033
Rhodanobacteraceae	1775411	F	2177	0.00004	1563	0.00004	1475	0.00003	1348	0.00004	1502	0.00003	1603	0.00004
Alteromonadaceae	72275	F	3685	0.00007	2457	0.00007	2162	0.00004	2170	0.00006	3079	0.00007	2434	0.00006
Shewanellaceae	267890	F	2888	0.00005	1699	0.00005	1477	0.00003	1795	0.00005	2478	0.00005	1756	0.00005
Pseudoalteromonadaceae	267888	F	1346	0.00002	796	0.00002	672	0.00001	1016	0.00003	1332	0.00003	847	0.00002
Colwelliaceae	267889	F	593	0.00001	409	0.00001	229	0.00000	400	0.00001	498	0.00001	350	0.00001
Idiomarinaceae	267893	F	372	0.00001	217	0.00001	227	0.00000	220	0.00001	295	0.00001	237	0.00001
Moritellaceae	267891	F	169	0.00000	91	0.00000	47	0.00000	175	0.00000	181	0.00000	121	0.00000
Psychromonadaceae	267894	F	152	0.00000	72	0.00000	102	0.00000	143	0.00000	153	0.00000	101	0.00000
Ferrimonadaceae	267892	F	131	0.00000	95	0.00000	99	0.00000	69	0.00000	131	0.00000	82	0.00000
Halomonadaceae	28256	F	5043	0.00009	3725	0.00010	4826	0.00009	2960	0.00008	3946	0.00008	3831	0.00010
Alcanivoracaceae	224372	F	1272	0.00002	647	0.00002	686	0.00001	956	0.00002	880	0.00002	750	0.00002
Oceanospirillaceae	135620	F	928	0.00002	545	0.00001	560	0.00001	674	0.00002	720	0.00002	593	0.00002
Saccharospirillaceae	255527	F	541	0.00001	257	0.00001	270	0.00001	336	0.00001	409	0.00001	366	0.00001
Kangiellaceae	1920240	F	379	0.00001	235	0.00001	117	0.00000	213	0.00001	293	0.00001	270	0.00001
Hahellaceae	224379	F	282	0.00001	216	0.00001	301	0.00001	144	0.00000	220	0.00000	219	0.00001
Oleiphilaceae	191033	F	270	0.00000	125	0.00000	84	0.00000	150	0.00000	167	0.00000	155	0.00000
Endozoicomonadaceae	2066474	F	68	0.00000	51	0.00000	40	0.00000	59	0.00000	55	0.00000	39	0.00000
Ectothiorhodospiraceae	72276	F	2797	0.00005	2364	0.00006	1824	0.00003	1693	0.00004	2225	0.00005	2198	0.00006
Chromatiaceae	1046	F	2119	0.00004	1626	0.00004	1579	0.00003	1304	0.00003	1692	0.00004	1582	0.00004
Halothiobacillaceae	255526	F	388	0.00001	310	0.00001	111	0.00000	199	0.00001	284	0.00001	278	0.00001
Granulosicoccaceae	449719	F	279	0.00001	282	0.00001	204	0.00000	201	0.00001	427	0.00001	222	0.00001
Thioalkalispiraceae	1096778	F	234	0.00000	228	0.00001	205	0.00000	136	0.00000	204	0.00000	163	0.00000
Wenzhouxiangellaceae	1676141	F	383	0.00001	193	0.00001	291	0.00001	195	0.00001	132	0.00000	230	0.00001
Woeseiaceae	1738654	F	79	0.00000	83	0.00000	84	0.00000	69	0.00000	68	0.00000	74	0.00000
Vibrionaceae	641	F	12403	0.00022	9120	0.00024	3024	0.00006	8982	0.00023	5126	0.00011	3824	0.00010
Aeromonadaceae	84642	F	8037	0.00015	5937	0.00016	4527	0.00009	3595	0.00009	6621	0.00014	5781	0.00015
Cellvibrionaceae	1706371	F	1015	0.00002	550	0.00001	577	0.00001	662	0.00002	868	0.00002	743	0.00002
Microbulbiferaceae	1706373	F	587	0.00001	490	0.00001	498	0.00001	349	0.00001	444	0.00001	438	0.00001
Spongiibacteraceae	1706375	F	445	0.00001	1299	0.00003	131	0.00000	157	0.00000	287	0.00001	280	0.00001
Halieaceae	1706372	F	427	0.00001	237	0.00001	180	0.00000	250	0.00001	330	0.00001	279	0.00001
Methylococcaceae	403	F	2414	0.00004	1673	0.00004	2173	0.00004	1266	0.00003	1729	0.00004	2968	0.00008
Piscirickettsiaceae	135616	F	1112	0.00002	592	0.00002	496	0.00001	692	0.00002	802	0.00002	752	0.00002
Francisellaceae	34064	F	591	0.00001	292	0.00001	203	0.00000	368	0.00001	545	0.00001	371	0.00001
Thiotrichaceae	135617	F	1950	0.00004	121	0.00000	150	0.00000	103	0.00000	165	0.00000	138	0.00000
Legionellaceae	444	F	1253	0.00002	815	0.00002	463	0.00001	983	0.00003	1249	0.00003	858	0.00002
Coxiellaceae	118968	F	235	0.00000	93	0.00000	119	0.00000	1205	0.00003	1604	0.00003	161	0.00000
Acidiferrobacteraceae	1692041	F	650	0.00001	505	0.00001	522	0.00001	534	0.00001	535	0.00001	412	0.00001
Orbaceae	1240483	F	270	0.00000	116	0.00000	150	0.00000	144	0.00000	262	0.00001	134	0.00000
Sinobacteraceae	568386	F	251	0.00000	216	0.00001	193	0.00000	155	0.00000	226	0.00000	203	0.00001
Salinisphaeraceae	742031	F	209	0.00000	171	0.00000	275	0.00001	240	0.00001	214	0.00000	178	0.00000
Immundisolibacteraceae	1934946	F	182	0.00000	144	0.00000	107	0.00000	120	0.00000	187	0.00000	152	0.00000
Campylobacteraceae	72294	F	690121	0.01247	665880	0.01784	314735	0.00592	427548	0.01116	572224	0.01212	453482	0.01196
Helicobacteraceae	72293	F	1638	0.00003	1194	0.00003	826	0.00002	1142	0.00003	1502	0.00003	1109	0.00003
Nautiliaceae	224467	F	403	0.00001	279	0.00001	97	0.00000	216	0.00001	275	0.00001	210	0.00001
