name	taxonomy_id	taxonomy_lvl	sample_A_num	sample_A_frac	sample_B_num	sample_B_frac	sample_C_num	sample_C_frac	sample_D_num	sample_D_frac	sample_E_num	sample_E_frac	sample_F_num	sample_F_frac
Sphingomonadales	204457	O	12011	0.00022	10816	0.00029	9499	0.00018	7688	0.00020	9418	0.00020	8977	0.00024
Rhodospirillales	204441	O	8329	0.00015	7244	0.00019	7572	0.00014	4765	0.00012	6447	0.00014	6316	0.00017
Caulobacterales	204458	O	4794	0.00009	4666	0.00012	4454	0.00008	2891	0.00008	4071	0.00009	3793	0.00010
Rickettsiales	766	O	732	0.00001	433	0.00001	256	0.00000	432	0.00001	581	0.00001	430	0.00001
Pelagibacterales	54526	O	228	0.00000	182	0.00000	62	0.00000	308	0.00001	355	0.00001	149	0.00000
Magnetococcales	1191478	O	178	0.00000	72	0.00000	35	0.00000	44	0.00000	99	0.00000	82	0.00000
Holosporales	1921002	O	169	0.00000	161	0.00000	66	0.00000	101	0.00000	172	0.00000	96	0.00000
Emcibacterales	2066490	O	123	0.00000	137	0.00000	59	0.00000	100	0.00000	87	0.00000	95	0.00000
Parvularculales	255473	O	89	0.00000	68	0.00000	59	0.00000	33	0.00000	65	0.00000	59	0.00000
Acidithiobacillales	225057	O	649	0.00001	447	0.00001	374	0.00001	335	0.00001	467	0.00001	450	0.00001
Bdellovibrionales	213481	O	412	0.00001	260	0.00001	243	0.00000	192	0.00001	248	0.00001	301	0.00001
Bacteriovoracales	2024979	O	129	0.00000	43	0.00000	81	0.00000	62	0.00000	137	0.00000	80	0.00000
Silvanigrellales	2024973	O	13	0.00000	11	0.00000	27	0.00000	10	0.00000	22	0.00000	19	0.00000
Mariprofundales	580371	O	219	0.00000	230	0.00001	143	0.00000	219	0.00001	191	0.00000	202	0.00001
Hydrogenophilales	119069	O	148	0.00000	335790	0.00899	83	0.00000	84	0.00000	133	0.00000	95	0.00000
Fusobacteriales	203491	O	1245402	0.02251	242005	0.00648	125706	0.00236	811159	0.02118	725672	0.01537	631128	0.01665
Spirochaetales	136	O	110427	0.00200	7471	0.00020	12623	0.00024	22803	0.00060	250465	0.00531	12053	0.00032
Leptospirales	1643688	O	322	0.00001	322	0.00001	122	0.00000	151	0.00000	273	0.00001	218	0.00001
Brachyspirales	1643686	O	388	0.00001	175	0.00000	172	0.00000	214	0.00001	242891	0.00515	243	0.00001
Opitutales	415000	O	1327	0.00002	1275	0.00003	758	0.00001	799	0.00002	1127	0.00002	1115	0.00003
Puniceicoccales	415001	O	173	0.00000	75	0.00000	27	0.00000	66	0.00000	149	0.00000	102	0.00000
Verrucomicrobiales	48461	O	1254	0.00002	1302	0.00003	776	0.00001	957	0.00002	1080	0.00002	975	0.00003
Methylacidiphilales	717963	O	121	0.00000	30	0.00000	17	0.00000	66	0.00000	96	0.00000	77	0.00000
Planctomycetales	112	O	1218	0.00002	1167	0.00003	1273	0.00002	876	0.00002	1017	0.00002	1012	0.00003
Sedimentisphaerales	2483366	O	254	0.00000	135	0.00000	67	0.00000	229	0.00001	174	0.00000	205	0.00001
Phycisphaerales	666506	O	149	0.00000	229	0.00001	237	0.00000	82	0.00000	159	0.00000	138	0.00000
Candidatus Brocadiales	1127829	O	75	0.00000	24	0.00000	11	0.00000	46	0.00000	37	0.00000	23	0.00000
Parachlamydiales	1963360	O	229	0.00000	94	0.00000	214	0.00000	153	0.00000	131	0.00000	130	0.00000
Chlamydiales	51291	O	200	0.00000	249	0.00001	77	0.00000	149	0.00000	235	0.00000	131	0.00000
Kiritimatiellales	1921782	O	187	0.00000	181	0.00000	128	0.00000	59	0.00000	176	0.00000	122	0.00000
Victivallales	278082	O	89	0.00000	157	0.00000	55	0.00000	52	0.00000	111	0.00000	66	0.00000
Acidobacteriales	204433	O	858	0.00002	1132	0.00003	633	0.00001	688	0.00002	790	0.00002	739	0.00002
Bryobacterales	332160	O	466	0.00001	419	0.00001	455	0.00001	364	0.00001	482	0.00001	251	0.00001
Thermotogales	2419	O	475	0.00001	430	0.00001	250	0.00000	512	0.00001	604	0.00001	353	0.00001
Kosmotogales	1643946	O	206	0.00000	141	0.00000	122	0.00000	120	0.00000	179	0.00000	125	0.00000
Petrotogales	1643947	O	121	0.00000	54	0.00000	74	0.00000	83	0.00000	119	0.00000	57	0.00000
Nitrospirales	189778	O	719	0.00001	817	0.00002	552	0.00001	424	0.00001	608	0.00001	559	0.00001
Synergistales	649776	O	530	0.00001	464	0.00001	915	0.00002	330	0.00001	479	0.00001	417	0.00001
Aquificales	32069	O	285	0.00001	183	0.00000	127	0.00000	170	0.00000	261	0.00001	219	0.00001
Desulfurobacteriales	1485951	O	126	0.00000	28	0.00000	25	0.00000	131	0.00000	151	0.00000	110	0.00000
Deferribacterales	191393	O	393	0.00001	272	0.00001	128	0.00000	216	0.00001	408	0.00001	277	0.00001
Chrysiogenales	189769	O	246	0.00000	144	0.00000	62	0.00000	117	0.00000	113	0.00000	131	0.00000
Elusimicrobiales	641854	O	96	0.00000	68	0.00000	14	0.00000	65	0.00000	90	0.00000	51	0.00000
Endomicrobiales	1783344	O	94	0.00000	59	0.00000	29	0.00000	47	0.00000	98	0.00000	57	0.00000
Thermodesulfobacteriales	188710	O	177	0.00000	63	0.00000	83	0.00000	145	0.00000	142	0.00000	104	0.00000
Calditrichales	1962852	O	75	0.00000	46	0.00000	73	0.00000	59	0.00000	86	0.00000	37	0.00000
Dictyoglomales	203487	O	57	0.00000	32	0.00000	30	0.00000	43	0.00000	62	0.00000	35	0.00000
Caldisericales	693072	O	17	0.00000	11	0.00000	43	0.00000	17	0.00000	26	0.00000	13	0.00000
Coprothermobacterales	2138246	O	14	0.00000	11	0.00000	10	0.00000	16	0.00000	10	0.00000	14	0.00000
Primates	9443	O	7329217	0.13247	8261549	0.22129	7228330	0.13599	4231793	0.11049	10056223	0.21303	5712696	0.15071
Haloferacales	1644055	O	1221	0.00002	1172	0.00003	1282	0.00002	650	0.00002	814	0.00002	961	0.00003
Halobacteriales	2235	O	909	0.00002	898	0.00002	1252	0.00002	490	0.00001	695	0.00001	710	0.00002
Natrialbales	1644060	O	789	0.00001	895	0.00002	1011	0.00002	457	0.00001	703	0.00001	637	0.00002
Methanosarcinales	94695	O	372	0.00001	379	0.00001	208	0.00000	248	0.00001	309	0.00001	264	0.00001
Methanomicrobiales	2191	O	313	0.00001	320	0.00001	293	0.00001	214	0.00001	282	0.00001	245	0.00001
Methanocellales	570264	O	52	0.00000	79	0.00000	60	0.00000	27	0.00000	40	0.00000	36	0.00000
Methanobacteriales	2158	O	302	0.00001	131	0.00000	64	0.00000	204	0.00001	245	0.00001	196	0.00001
Methanococcales	2182	O	206	0.00000	64	0.00000	80	0.00000	220	0.00001	241	0.00001	117	0.00000
Thermococcales	2258	O	231	0.00000	267	0.00001	304	0.00001	125	0.00000	226	0.00000	150	0.00000
Thermoplasmatales	2301	O	87	0.00000	62	0.00000	86	0.00000	71	0.00000	54	0.00000	98	0.00000
