name	taxonomy_id	taxonomy_lvl	sample_A_num	sample_A_frac	sample_B_num	sample_B_frac	sample_C_num	sample_C_frac	sample_D_num	sample_D_frac	sample_E_num	sample_E_frac	sample_F_num	sample_F_frac
Kosmotoga	651456	G	111	0.00000	89	0.00000	30	0.00000	55	0.00000	90	0.00000	67	0.00000
Mesotoga	1184396	G	95	0.00000	52	0.00000	92	0.00000	65	0.00000	89	0.00000	58	0.00000
Marinitoga	160798	G	50	0.00000	27	0.00000	46	0.00000	37	0.00000	42	0.00000	20	0.00000
Defluviitoga	1511648	G	37	0.00000	13	0.00000	0	0.00000	28	0.00000	36	0.00000	24	0.00000
Petrotoga	28236	G	34	0.00000	13	0.00000	22	0.00000	18	0.00000	40	0.00000	13	0.00000
Nitrospira	1234	G	569	0.00001	493	0.00001	505	0.00001	311	0.00001	417	0.00001	431	0.00001
Leptospirillum	179	G	96	0.00000	255	0.00001	31	0.00000	81	0.00000	109	0.00000	95	0.00000
Thermodesulfovibrio	28261	G	54	0.00000	69	0.00000	16	0.00000	32	0.00000	81	0.00000	33	0.00000
Cloacibacillus	508459	G	117	0.00000	108	0.00000	140	0.00000	86	0.00000	140	0.00000	102	0.00000
Thermanaerovibrio	81461	G	117	0.00000	91	0.00000	215	0.00000	39	0.00000	112	0.00000	86	0.00000
Jonquetella	428711	G	97	0.00000	76	0.00000	121	0.00000	91	0.00000	64	0.00000	57	0.00000
Aminomonas	81411	G	77	0.00000	91	0.00000	241	0.00000	34	0.00000	65	0.00000	65	0.00000
Acetomicrobium	49894	G	44	0.00000	10	0.00000	69	0.00000	20	0.00000	17	0.00000	27	0.00000
Aminobacterium	81466	G	41	0.00000	44	0.00000	66	0.00000	15	0.00000	20	0.00000	32	0.00000
Thermovirga	336260	G	34	0.00000	42	0.00000	60	0.00000	42	0.00000	57	0.00000	45	0.00000
Thermocrinis	75905	G	110	0.00000	62	0.00000	47	0.00000	42	0.00000	67	0.00000	85	0.00000
Hydrogenobaculum	168657	G	27	0.00000	34	0.00000	24	0.00000	21	0.00000	62	0.00000	14	0.00000
Aquifex	2713	G	10	0.00000	18	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Sulfurihydrogenibium	212790	G	81	0.00000	23	0.00000	16	0.00000	61	0.00000	81	0.00000	64	0.00000
Persephonella	182899	G	30	0.00000	27	0.00000	19	0.00000	18	0.00000	32	0.00000	21	0.00000
Thermosulfidibacter	412592	G	15	0.00000	0	0.00000	12	0.00000	16	0.00000	0	0.00000	10	0.00000
Thermovibrio	171868	G	76	0.00000	26	0.00000	16	0.00000	106	0.00000	122	0.00000	84	0.00000
Desulfurobacterium	64159	G	49	0.00000	0	0.00000	0	0.00000	24	0.00000	28	0.00000	26	0.00000
Deferribacter	53572	G	100	0.00000	50	0.00000	17	0.00000	56	0.00000	126	0.00000	86	0.00000
Denitrovibrio	117999	G	84	0.00000	80	0.00000	22	0.00000	71	0.00000	73	0.00000	76	0.00000
Geovibrio	46200	G	83	0.00000	65	0.00000	53	0.00000	48	0.00000	69	0.00000	61	0.00000
Flexistipes	2351	G	62	0.00000	49	0.00000	28	0.00000	23	0.00000	71	0.00000	33	0.00000
Calditerrivibrio	545865	G	62	0.00000	26	0.00000	0	0.00000	17	0.00000	68	0.00000	19	0.00000
Desulfurispirillum	393029	G	246	0.00000	144	0.00000	62	0.00000	117	0.00000	113	0.00000	131	0.00000
Elusimicrobium	423604	G	96	0.00000	68	0.00000	14	0.00000	65	0.00000	90	0.00000	51	0.00000
Endomicrobium	1408194	G	94	0.00000	59	0.00000	29	0.00000	47	0.00000	98	0.00000	57	0.00000
Thermodesulfobacterium	1740	G	91	0.00000	37	0.00000	28	0.00000	83	0.00000	84	0.00000	51	0.00000
Thermodesulfatator	241192	G	52	0.00000	14	0.00000	28	0.00000	36	0.00000	26	0.00000	29	0.00000
Caldimicrobium	444090	G	34	0.00000	12	0.00000	27	0.00000	26	0.00000	31	0.00000	24	0.00000
Caldithrix	187144	G	75	0.00000	46	0.00000	73	0.00000	59	0.00000	86	0.00000	37	0.00000
Dictyoglomus	13	G	57	0.00000	32	0.00000	30	0.00000	43	0.00000	62	0.00000	35	0.00000
Caldisericum	693074	G	17	0.00000	11	0.00000	43	0.00000	17	0.00000	26	0.00000	13	0.00000
Coprothermobacter	68335	G	14	0.00000	11	0.00000	10	0.00000	16	0.00000	10	0.00000	14	0.00000
Homo	9605	G	7329220	0.13248	8261552	0.22130	7228354	0.13604	4231795	0.11049	10056225	0.21305	5712699	0.15072
Haloferax	2251	G	248	0.00000	234	0.00001	300	0.00001	93	0.00000	144	0.00000	220	0.00001
Haloplanus	376170	G	139	0.00000	185	0.00000	175	0.00000	102	0.00000	113	0.00000	153	0.00000
Halobellus	1073986	G	139	0.00000	136	0.00000	86	0.00000	69	0.00000	89	0.00000	115	0.00000
Haloprofundus	1911573	G	105	0.00000	112	0.00000	102	0.00000	56	0.00000	80	0.00000	108	0.00000
Halogeometricum	60846	G	15	0.00000	0	0.00000	54	0.00000	18	0.00000	12	0.00000	0	0.00000
Haloquadratum	293431	G	11	0.00000	26	0.00000	0	0.00000	10	0.00000	13	0.00000	14	0.00000
Halorubrum	56688	G	336	0.00001	278	0.00001	333	0.00001	173	0.00000	223	0.00000	171	0.00000
Halohasta	1450140	G	103	0.00000	86	0.00000	67	0.00000	74	0.00000	67	0.00000	96	0.00000
Salinigranum	1644057	G	45	0.00000	37	0.00000	68	0.00000	18	0.00000	26	0.00000	46	0.00000
Halopenitus	1209988	G	78	0.00000	70	0.00000	91	0.00000	32	0.00000	43	0.00000	27	0.00000
Haloarcula	2237	G	200	0.00000	140	0.00000	269	0.00001	90	0.00000	138	0.00000	140	0.00000
Halorhabdus	146825	G	107	0.00000	118	0.00000	56	0.00000	65	0.00000	81	0.00000	88	0.00000
Halorientalis	1073987	G	136	0.00000	139	0.00000	74	0.00000	89	0.00000	62	0.00000	116	0.00000
Halapricum	1542963	G	62	0.00000	43	0.00000	103	0.00000	21	0.00000	81	0.00000	30	0.00000
Natronomonas	63743	G	53	0.00000	31	0.00000	52	0.00000	14	0.00000	38	0.00000	21	0.00000
Halomicrobium	203135	G	0	0.00000	0	0.00000	55	0.00000	0	0.00000	0	0.00000	0	0.00000
Halobacterium	2239	G	227	0.00000	231	0.00001	401	0.00001	126	0.00000	161	0.00000	199	0.00001
Halanaeroarchaeum	1656823	G	47	0.00000	55	0.00000	56	0.00000	16	0.00000	30	0.00000	15	0.00000
Halorussus	1070314	G	43	0.00000	68	0.00000	105	0.00000	26	0.00000	47	0.00000	41	0.00000
Halalkalicoccus	332246	G	16	0.00000	30	0.00000	50	0.00000	16	0.00000	28	0.00000	21	0.00000
Natrinema	88723	G	173	0.00000	151	0.00000	237	0.00000	93	0.00000	123	0.00000	116	0.00000
Halopiger	387342	G	84	0.00000	92	0.00000	105	0.00000	45	0.00000	111	0.00000	93	0.00000
Haloterrigena	121871	G	93	0.00000	138	0.00000	151	0.00000	61	0.00000	90	0.00000	112	0.00000
Natronococcus	29287	G	73	0.00000	74	0.00000	77	0.00000	50	0.00000	60	0.00000	51	0.00000
Natronolimnobius	253106	G	74	0.00000	88	0.00000	126	0.00000	47	0.00000	74	0.00000	69	0.00000
Salinarchaeum	1269201	G	68	0.00000	48	0.00000	44	0.00000	33	0.00000	44	0.00000	43	0.00000
Halostagnicola	353799	G	60	0.00000	40	0.00000	90	0.00000	24	0.00000	41	0.00000	49	0.00000
Natronobacterium	2256	G	53	0.00000	84	0.00000	34	0.00000	23	0.00000	46	0.00000	30	0.00000
Halobiforma	203193	G	51	0.00000	102	0.00000	81	0.00000	31	0.00000	49	0.00000	35	0.00000
Natrialba	63742	G	34	0.00000	54	0.00000	30	0.00000	31	0.00000	44	0.00000	24	0.00000
Natronorubrum	134813	G	21	0.00000	17	0.00000	29	0.00000	14	0.00000	16	0.00000	11	0.00000
Methanosarcina	2207	G	149	0.00000	149	0.00000	116	0.00000	118	0.00000	132	0.00000	123	0.00000
Methanohalophilus	2175	G	44	0.00000	14	0.00000	0	0.00000	35	0.00000	36	0.00000	31	0.00000
Methanococcoides	2225	G	34	0.00000	35	0.00000	18	0.00000	12	0.00000	30	0.00000	24	0.00000
Methanosalsum	196136	G	36	0.00000	0	0.00000	0	0.00000	13	0.00000	15	0.00000	0	0.00000
Methanomethylovorans	101191	G	24	0.00000	0	0.00000	0	0.00000	11	0.00000	10	0.00000	17	0.00000
Methanolobus	2220	G	19	0.00000	30	0.00000	23	0.00000	16	0.00000	22	0.00000	0	0.00000
Methanothrix	2222	G	55	0.00000	110	0.00000	33	0.00000	38	0.00000	49	0.00000	41	0.00000
Methanoculleus	45989	G	135	0.00000	96	0.00000	150	0.00000	102	0.00000	97	0.00000	93	0.00000
Methanofollis	81416	G	65	0.00000	81	0.00000	66	0.00000	41	0.00000	80	0.00000	58	0.00000
Methanolacinia	230355	G	37	0.00000	36	0.00000	10	0.00000	27	0.00000	22	0.00000	41	0.00000
Methanoregula	395331	G	29	0.00000	66	0.00000	20	0.00000	17	0.00000	37	0.00000	35	0.00000
Methanosphaerula	475087	G	24	0.00000	21	0.00000	39	0.00000	15	0.00000	34	0.00000	12	0.00000
Methanocella	570266	G	52	0.00000	79	0.00000	60	0.00000	27	0.00000	40	0.00000	36	0.00000
Methanobacterium	2160	G	206	0.00000	81	0.00000	23	0.00000	149	0.00000	122	0.00000	129	0.00000
Methanobrevibacter	2172	G	60	0.00000	27	0.00000	26	0.00000	37	0.00000	81	0.00000	37	0.00000
Methanosphaera	2316	G	29	0.00000	16	0.00000	0	0.00000	14	0.00000	34	0.00000	23	0.00000
Methanococcus	2184	G	134	0.00000	34	0.00000	28	0.00000	177	0.00000	163	0.00000	78	0.00000
Methanocaldococcus	196118	G	64	0.00000	25	0.00000	51	0.00000	39	0.00000	65	0.00000	36	0.00000
Thermococcus	2263	G	205	0.00000	246	0.00001	289	0.00001	109	0.00000	210	0.00000	138	0.00000
Pyrococcus	2260	G	24	0.00000	19	0.00000	13	0.00000	11	0.00000	14	0.00000	10	0.00000
Thermoplasma	2302	G	13	0.00000	16	0.00000	16	0.00000	11	0.00000	0	0.00000	18	0.00000
Candidatus Methanomethylophilus	1291539	G	15	0.00000	55	0.00000	20	0.00000	12	0.00000	31	0.00000	22	0.00000
Aciduliprofundum	379546	G	10	0.00000	0	0.00000	0	0.00000	0	0.00000	17	0.00000	0	0.00000
Archaeoglobus	2233	G	47	0.00000	35	0.00000	17	0.00000	27	0.00000	16	0.00000	33	0.00000
Geoglobus	190818	G	20	0.00000	14	0.00000	18	0.00000	15	0.00000	18	0.00000	26	0.00000
Sulfolobus	2284	G	578	0.00001	497	0.00001	367	0.00001	425	0.00001	496	0.00001	387	0.00001
Acidianus	12914	G	15	0.00000	0	0.00000	0	0.00000	0	0.00000	12	0.00000	0	0.00000
Sulfurisphaera	69655	G	12	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Thermogladius	477695	G	55	0.00000	23	0.00000	0	0.00000	0	0.00000	12	0.00000	32	0.00000
Hyperthermus	54247	G	14	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Pyrobaculum	2276	G	33	0.00000	24	0.00000	0	0.00000	0	0.00000	34	0.00000	24	0.00000
Thermofilum	2268	G	13	0.00000	33	0.00000	0	0.00000	16	0.00000	11	0.00000	33	0.00000
Candidatus Nitrosotenuis	1825023	G	47	0.00000	22	0.00000	0	0.00000	22	0.00000	33	0.00000	29	0.00000
Candidatus Nitrosocaldus	498374	G	22	0.00000	0	0.00000	0	0.00000	0	0.00000	15	0.00000	0	0.00000
Nitrososphaera	497726	G	17	0.00000	18	0.00000	0	0.00000	0	0.00000	13	0.00000	13	0.00000
Pepyhexavirus	1982367	G	559	0.00001	381	0.00001	32	0.00000	300	0.00001	374	0.00001	444	0.00001
Bingvirus	2560103	G	276	0.00000	245	0.00001	106	0.00000	153	0.00000	160	0.00000	195	0.00001
Cheoctovirus	1623281	G	209	0.00000	76	0.00000	0	0.00000	51	0.00000	122	0.00000	183	0.00000
Reyvirus	1623301	G	110	0.00000	31	0.00000	0	0.00000	25	0.00000	40	0.00000	81	0.00000
Fromanvirus	186764	G	107	0.00000	37	0.00000	21	0.00000	43	0.00000	57	0.00000	78	0.00000
Phicbkvirus	1623296	G	30	0.00000	24	0.00000	18	0.00000	0	0.00000	0	0.00000	0	0.00000
Nonanavirus	1921122	G	29	0.00000	24	0.00000	28	0.00000	16	0.00000	22	0.00000	20	0.00000
Rimavirus	2560214	G	22	0.00000	49	0.00000	0	0.00000	142	0.00000	78	0.00000	15	0.00000
Laroyevirus	1982086	G	19	0.00000	26	0.00000	36	0.00000	0	0.00000	23	0.00000	0	0.00000
Ceetrepovirus	2560111	G	14	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Likavirus	1982880	G	18	0.00000	17	0.00000	0	0.00000	11	0.00000	12	0.00000	12	0.00000
Chakrabartyvirus	2560113	G	21	0.00000	12	0.00000	0	0.00000	13	0.00000	22	0.00000	0	0.00000
Bixzunavirus	680114	G	20	0.00000	0	0.00000	13	0.00000	0	0.00000	0	0.00000	0	0.00000
Jilinvirus	1918725	G	18	0.00000	22	0.00000	0	0.00000	22	0.00000	12	0.00000	19	0.00000
Roseolovirus	40272	G	220	0.00000	282	0.00001	0	0.00000	130	0.00000	266	0.00001	190	0.00001
Simplexvirus	10294	G	10	0.00000	0	0.00000	12	0.00000	0	0.00000	0	0.00000	13	0.00000
Pandoravirus	2060084	G	80	0.00000	66	0.00000	104	0.00000	54	0.00000	52	0.00000	52	0.00000
Alphapartitivirus	1511808	G	11	0.00000	0	0.00000	14	0.00000	0	0.00000	0	0.00000	0	0.00000
Molluscipoxvirus	10278	G	10	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Hydrogenobacter	939	G	0	0.00000	10	0.00000	0	0.00000	0	0.00000	0	0.00000	20	0.00000
Halostella	1843185	G	0	0.00000	19	0.00000	0	0.00000	13	0.00000	13	0.00000	20	0.00000
Halodesulfurarchaeum	1980514	G	0	0.00000	18	0.00000	20	0.00000	10	0.00000	11	0.00000	14	0.00000
Methanohalobium	2321	G	0	0.00000	24	0.00000	0	0.00000	0	0.00000	12	0.00000	11	0.00000
Ignicoccus	54258	G	0	0.00000	46	0.00000	15	0.00000	0	0.00000	13	0.00000	12	0.00000
Korravirus	1982076	G	0	0.00000	19	0.00000	0	0.00000	13	0.00000	0	0.00000	0	0.00000
Machinavirus	2169624	G	0	0.00000	18	0.00000	11	0.00000	0	0.00000	12	0.00000	0	0.00000
Candidatus Gullanella	1906661	G	0	0.00000	0	0.00000	12	0.00000	0	0.00000	0	0.00000	0	0.00000
Metakosakonia	2055876	G	0	0.00000	0	0.00000	74	0.00000	0	0.00000	0	0.00000	0	0.00000
Pajaroellobacter	1882917	G	0	0.00000	0	0.00000	19	0.00000	10	0.00000	0	0.00000	0	0.00000
Cuniculiplasma	1747777	G	0	0.00000	0	0.00000	12	0.00000	0	0.00000	0	0.00000	0	0.00000
Metallosphaera	41980	G	0	0.00000	0	0.00000	14	0.00000	0	0.00000	0	0.00000	0	0.00000
Rauchvirus	542959	G	0	0.00000	0	0.00000	15	0.00000	0	0.00000	0	0.00000	0	0.00000
Brussowvirus	1623303	G	0	0.00000	0	0.00000	121	0.00000	0	0.00000	0	0.00000	0	0.00000
Dismasvirus	2560122	G	0	0.00000	0	0.00000	44	0.00000	0	0.00000	0	0.00000	0	0.00000
Tlsvirus	1920865	G	0	0.00000	0	0.00000	5	0.00000	0	0.00000	0	0.00000	0	0.00000
Elerivirus	2560126	G	0	0.00000	0	0.00000	16	0.00000	0	0.00000	0	0.00000	0	0.00000
Velarivirus	1513308	G	0	0.00000	0	0.00000	12	0.00000	0	0.00000	0	0.00000	0	0.00000
Ranavirus	10492	G	0	0.00000	0	0.00000	31	0.00000	0	0.00000	0	0.00000	10	0.00000
Longibaculum	1918538	G	0	0.00000	0	0.00000	0	0.00000	86	0.00000	66	0.00000	0	0.00000
Simkania	34093	G	0	0.00000	0	0.00000	0	0.00000	15	0.00000	12	0.00000	0	0.00000
Gelderlandvirus	1913653	G	0	0.00000	0	0.00000	0	0.00000	14	0.00000	0	0.00000	0	0.00000
Certrevirus	1914850	G	0	0.00000	0	0.00000	0	0.00000	11	0.00000	18	0.00000	14	0.00000
Candidatus Tremblaya	189384	G	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Parachlamydia	83551	G	0	0.00000	0	0.00000	0	0.00000	0	0.00000	10	0.00000	0	0.00000
Sinaivirus	1921556	G	0	0.00000	0	0.00000	0	0.00000	0	0.00000	10	0.00000	0	0.00000
Mimivirus	315393	G	0	0.00000	0	0.00000	0	0.00000	0	0.00000	13	0.00000	0	0.00000
Candidatus Babela	1551504	G	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	12	0.00000
Chenonavirus	1623282	G	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	11	0.00000
