name	taxonomy_id	taxonomy_lvl	sample_A_num	sample_A_frac	sample_B_num	sample_B_frac	sample_C_num	sample_C_frac	sample_D_num	sample_D_frac	sample_E_num	sample_E_frac	sample_F_num	sample_F_frac
Mesorhizobium japonicum	2066070	S	113	0.00000	82	0.00000	192	0.00000	39	0.00000	122	0.00000	82	0.00000
Mesorhizobium opportunistum	593909	S	101	0.00000	81	0.00000	101	0.00000	67	0.00000	86	0.00000	53	0.00000
Mesorhizobium sp. M1D.F.Ca.ET.043.01.1.1	2493669	S	103	0.00000	118	0.00000	42	0.00000	66	0.00000	71	0.00000	87	0.00000
Mesorhizobium sp. M1B.F.Ca.ET.045.04.1.1	2493673	S	92	0.00000	101	0.00000	77	0.00000	34	0.00000	88	0.00000	84	0.00000
Mesorhizobium sp. M2A.F.Ca.ET.046.03.2.1	2493674	S	173	0.00000	195	0.00001	115	0.00000	87	0.00000	174	0.00000	186	0.00000
Mesorhizobium loti	381	S	115	0.00000	152	0.00000	197	0.00000	89	0.00000	156	0.00000	143	0.00000
Mesorhizobium sp. M6A.T.Cr.TU.016.01.1.1	2493677	S	70	0.00000	90	0.00000	20	0.00000	50	0.00000	87	0.00000	99	0.00000
Mesorhizobium sp. M9A.F.Ca.ET.002.03.1.2	2493668	S	72	0.00000	63	0.00000	34	0.00000	23	0.00000	58	0.00000	58	0.00000
Mesorhizobium sp. M1E.F.Ca.ET.045.02.1.1	2493672	S	64	0.00000	101	0.00000	93	0.00000	37	0.00000	92	0.00000	90	0.00000
Mesorhizobium oceanicum	1670800	S	55	0.00000	99	0.00000	118	0.00000	79	0.00000	91	0.00000	77	0.00000
Mesorhizobium huakuii	28104	S	155	0.00000	54	0.00000	366	0.00001	64	0.00000	85	0.00000	46	0.00000
Mesorhizobium sp. M7A.F.Ce.TU.012.03.2.1	2493681	S	56	0.00000	109	0.00000	52	0.00000	32	0.00000	63	0.00000	94	0.00000
Mesorhizobium sp. M4B.F.Ca.ET.058.02.1.1	2493675	S	32	0.00000	23	0.00000	57	0.00000	23	0.00000	32	0.00000	19	0.00000
Mesorhizobium sp. WSM1497	278153	S	54	0.00000	111	0.00000	0	0.00000	58	0.00000	81	0.00000	0	0.00000
Aminobacter sp. MSH1	374606	S	193	0.00000	145	0.00000	90	0.00000	66	0.00000	138	0.00000	130	0.00000
Aminobacter aminovorans	83263	S	152	0.00000	176	0.00000	181	0.00000	194	0.00001	141	0.00000	142	0.00000
Hoeflea phototrophica	244596	S	162	0.00000	195	0.00001	48	0.00000	119	0.00000	157	0.00000	165	0.00000
Hoeflea sp. IMCC20628	1620421	S	115	0.00000	106	0.00000	43	0.00000	62	0.00000	113	0.00000	63	0.00000
Roseitalea porphyridii	1852022	S	199	0.00000	113	0.00000	172	0.00000	111	0.00000	105	0.00000	174	0.00000
Nitratireductor sp. OM-1	1756988	S	106	0.00000	160	0.00000	61	0.00000	89	0.00000	115	0.00000	82	0.00000
Nitratireductor basaltis	472175	S	64	0.00000	42	0.00000	86	0.00000	43	0.00000	54	0.00000	44	0.00000
Phyllobacterium zundukense	1867719	S	71	0.00000	72	0.00000	24	0.00000	58	0.00000	69	0.00000	77	0.00000
Chelativorans sp. BNC1	266779	S	52	0.00000	43	0.00000	56	0.00000	21	0.00000	51	0.00000	34	0.00000
Methylobacterium sp. 4-46	426117	S	301	0.00001	315	0.00001	297	0.00001	182	0.00000	194	0.00000	231	0.00001
Methylobacterium sp. 17Sr1-43	2202828	S	235	0.00000	185	0.00000	268	0.00001	149	0.00000	143	0.00000	142	0.00000
Methylobacterium sp. 17Sr1-28	2202827	S	285	0.00001	366	0.00001	254	0.00000	210	0.00001	269	0.00001	262	0.00001
Methylobacterium sp. 17Sr1-1	2202826	S	258	0.00000	199	0.00001	456	0.00001	142	0.00000	251	0.00001	217	0.00001
Methylobacterium sp. 17SD2-17	2202825	S	169	0.00000	198	0.00001	233	0.00000	74	0.00000	104	0.00000	142	0.00000
Methylobacterium sp. DM1	2067957	S	204	0.00000	148	0.00000	175	0.00000	86	0.00000	185	0.00000	120	0.00000
Methylobacterium brachiatum	269660	S	180	0.00000	116	0.00000	343	0.00001	65	0.00000	164	0.00000	98	0.00000
Methylobacterium nodulans	114616	S	138	0.00000	179	0.00000	174	0.00000	119	0.00000	130	0.00000	154	0.00000
Methylobacterium currus	2051553	S	151	0.00000	166	0.00000	199	0.00000	107	0.00000	93	0.00000	125	0.00000
Methylobacterium aquaticum	270351	S	111	0.00000	135	0.00000	198	0.00000	58	0.00000	109	0.00000	119	0.00000
Methylobacterium sp. AMS5	925818	S	104	0.00000	53	0.00000	152	0.00000	56	0.00000	86	0.00000	49	0.00000
Methylobacterium phyllosphaerae	418223	S	330	0.00001	314	0.00001	73	0.00000	297	0.00001	205	0.00000	264	0.00001
Methylobacterium sp. C1	1479019	S	93	0.00000	109	0.00000	178	0.00000	0	0.00000	103	0.00000	0	0.00000
Methylorubrum extorquens	408	S	513	0.00001	577	0.00002	463	0.00001	299	0.00001	450	0.00001	407	0.00001
Methylorubrum populi	223967	S	311	0.00001	337	0.00001	459	0.00001	218	0.00001	256	0.00001	269	0.00001
Methylorubrum zatmanii	29429	S	122	0.00000	116	0.00000	129	0.00000	70	0.00000	0	0.00000	73	0.00000
Microvirga ossetica	1882682	S	166	0.00000	214	0.00001	199	0.00000	115	0.00000	135	0.00000	153	0.00000
Microvirga sp. 17 mud 1-3	2082949	S	156	0.00000	118	0.00000	173	0.00000	78	0.00000	102	0.00000	99	0.00000
Hyphomicrobium denitrificans	53399	S	459	0.00001	379	0.00001	122	0.00000	233	0.00001	281	0.00001	326	0.00001
Hyphomicrobium sp. MC1	717785	S	164	0.00000	131	0.00000	102	0.00000	126	0.00000	112	0.00000	139	0.00000
Hyphomicrobium nitrativorans	1427356	S	80	0.00000	145	0.00000	75	0.00000	48	0.00000	57	0.00000	78	0.00000
Devosia sp. 1566	2499144	S	181	0.00000	166	0.00000	145	0.00000	84	0.00000	107	0.00000	74	0.00000
Devosia sp. H5989	1643450	S	161	0.00000	173	0.00000	181	0.00000	135	0.00000	179	0.00000	146	0.00000
Devosia sp. A16	1736675	S	135	0.00000	137	0.00000	75	0.00000	104	0.00000	127	0.00000	153	0.00000
Devosia sp. I507	2083786	S	114	0.00000	63	0.00000	54	0.00000	48	0.00000	74	0.00000	73	0.00000
Blastochloris viridis	1079	S	205	0.00000	149	0.00000	59	0.00000	68	0.00000	131	0.00000	151	0.00000
Blastochloris sp. GI	2233851	S	159	0.00000	138	0.00000	157	0.00000	83	0.00000	103	0.00000	126	0.00000
Candidatus Filomicrobium marinum	1608628	S	234	0.00000	157	0.00000	60	0.00000	108	0.00000	172	0.00000	165	0.00000
Rhodomicrobium vannielii	1069	S	184	0.00000	161	0.00000	188	0.00000	100	0.00000	143	0.00000	156	0.00000
Rhodoplanes sp. Z2-YC6860	674703	S	126	0.00000	109	0.00000	159	0.00000	53	0.00000	150	0.00000	86	0.00000
Maritalea myrionectae	454601	S	81	0.00000	113	0.00000	20	0.00000	55	0.00000	75	0.00000	69	0.00000
Pelagibacterium halotolerans	531813	S	63	0.00000	58	0.00000	15	0.00000	37	0.00000	66	0.00000	32	0.00000
Pseudolabrys taiwanensis	331696	S	175	0.00000	164	0.00000	132	0.00000	106	0.00000	139	0.00000	180	0.00000
Pseudolabrys sp. FHR47	2562284	S	150	0.00000	256	0.00001	79	0.00000	112	0.00000	137	0.00000	168	0.00000
Xanthobacter autotrophicus	280	S	363	0.00001	277	0.00001	539	0.00001	147	0.00000	302	0.00001	256	0.00001
Azorhizobium caulinodans	7	S	203	0.00000	158	0.00000	193	0.00000	106	0.00000	162	0.00000	195	0.00001
Starkeya novella	921	S	167	0.00000	160	0.00000	206	0.00000	44	0.00000	138	0.00000	122	0.00000
Bartonella apis	1686310	S	151	0.00000	171	0.00000	121	0.00000	118	0.00000	101	0.00000	125	0.00000
