name	taxonomy_id	taxonomy_lvl	sample_A_num	sample_A_frac	sample_B_num	sample_B_frac	sample_C_num	sample_C_frac	sample_D_num	sample_D_frac	sample_E_num	sample_E_frac	sample_F_num	sample_F_frac
Aquificae	187857	C	411	0.00001	211	0.00001	152	0.00000	301	0.00001	412	0.00001	329	0.00001
Deferribacteres	68337	C	393	0.00001	272	0.00001	128	0.00000	216	0.00001	408	0.00001	277	0.00001
Chrysiogenetes	118001	C	246	0.00000	144	0.00000	62	0.00000	117	0.00000	113	0.00000	131	0.00000
Elusimicrobia	641853	C	96	0.00000	68	0.00000	14	0.00000	65	0.00000	90	0.00000	51	0.00000
Endomicrobia	447830	C	94	0.00000	59	0.00000	29	0.00000	47	0.00000	98	0.00000	57	0.00000
Thermodesulfobacteria	67799	C	177	0.00000	63	0.00000	83	0.00000	145	0.00000	142	0.00000	104	0.00000
Calditrichae	1962850	C	75	0.00000	46	0.00000	73	0.00000	59	0.00000	86	0.00000	37	0.00000
Dictyoglomia	203486	C	57	0.00000	32	0.00000	30	0.00000	43	0.00000	62	0.00000	35	0.00000
Caldisericia	693071	C	17	0.00000	11	0.00000	43	0.00000	17	0.00000	26	0.00000	13	0.00000
Coprothermobacteria	2138243	C	14	0.00000	11	0.00000	10	0.00000	16	0.00000	10	0.00000	14	0.00000
Mammalia	40674	C	7329217	0.13247	8261549	0.22129	7228354	0.13604	4231793	0.11049	10056223	0.21303	5712696	0.15071
Halobacteria	183963	C	2917	0.00005	2958	0.00008	3546	0.00007	1595	0.00004	2210	0.00005	2304	0.00006
Methanomicrobia	224756	C	738	0.00001	779	0.00002	561	0.00001	491	0.00001	632	0.00001	546	0.00001
Methanobacteria	183925	C	302	0.00001	131	0.00000	64	0.00000	204	0.00001	245	0.00001	196	0.00001
Methanococci	183939	C	206	0.00000	64	0.00000	80	0.00000	220	0.00001	241	0.00001	117	0.00000
Thermococci	183968	C	231	0.00000	267	0.00001	304	0.00001	125	0.00000	226	0.00000	150	0.00000
Thermoplasmata	183967	C	116	0.00000	158	0.00000	109	0.00000	92	0.00000	126	0.00000	128	0.00000
Archaeoglobi	183980	C	72	0.00000	52	0.00000	39	0.00000	43	0.00000	35	0.00000	61	0.00000
Thermoprotei	183924	C	814	0.00001	683	0.00002	437	0.00001	530	0.00001	654	0.00001	545	0.00001
Nitrososphaeria	1643678	C	4455	0.00008	3032	0.00008	0	0.00000	2038	0.00005	5216	0.00011	3092	0.00008
Candidatus Babeliae	2497643	C	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	87	0.00000
